,Query Index,No_index_exe_list,Exe_list_whatif,Exe_list_rainbow,Exe_list_lib,Exe_list_AIMEETAI,Whatif Ratio (%),Rainbow Ratio (%),Lib Ratio (%),Tree Model Ratio (%)
0,1,2.934299945831299,3.014878511428833,0.4164998531341553,0.7188067436218262,0.3128795623779297,-2.7460916431536093,85.8058187362247,75.50329697401861,89.33716497447946
1,2,1.611908197402954,2.122499704360962,0.2167198657989502,0.41513586044311523,0.1878032684326172,-31.676215046282017,86.55507390879201,74.24568836414093,88.34900965605866
2,3,3.1105687618255615,3.0700457096099854,3.0119454860687256,0.25780582427978516,0.5416710376739502,1.3027537829381917,3.170586581051979,91.71193939051578,82.58610951406683
3,4,0.462308406829834,3.560642719268799,0.04680514335632324,0.2563908100128174,0.39255189895629883,-670.1877505721839,89.87577498811281,44.54117506299438,15.088738781947148
4,5,3.468449592590332,3.3929998874664307,0.03521466255187988,0.24714112281799316,0.3739750385284424,2.175315025049953,98.98471459331255,92.87459378547804,89.2178038473626
5,6,7.949002504348755,8.082461595535278,0.13659191131591797,2.1080644130706787,2.3012259006500244,-1.6789413654544756,98.28164714703271,73.48013902477204,71.05012988244668
6,7,0.30996251106262207,0.3063211441040039,0.0965890884399414,1.8849797248840332,2.0790085792541504,1.1747765709261835,68.83846110653445,-508.1315183639123,-570.7290414336998
7,8,1.4504804611206055,0.3405115604400635,0.2676410675048828,1.8619978427886963,2.0416665077209473,76.52422286495381,81.54810942450683,-28.37110824299988,-40.757946242419976
8,9,0.8503620624542236,0.17012691497802734,0.08931231498718262,3.8143935203552246,4.07495903968811,79.99359067277469,89.49714257837196,-348.5611116453775,-379.2028266086332
9,10,1.2033004760742188,0.8332972526550293,0.7079117298126221,3.7355871200561523,3.9935495853424072,30.749029920301297,41.16916398785182,-210.4450795401949,-231.88298889163642
10,11,3.8946948051452637,1.1763863563537598,1.1846966743469238,3.6313018798828125,3.701920509338379,69.7951594358654,69.58178410329285,6.762864317750495,4.949663720818677
11,12,2.0791382789611816,0.6020829677581787,0.5028505325317383,0.23788022994995117,0.36509013175964355,71.04170637178578,75.81447383177505,88.55871048322936,82.44031503560905
12,13,2.0622525215148926,0.5768492221832275,0.49448704719543457,20.565639972686768,7.618626594543457,72.02819653921505,76.02199332833433,-897.2415966585717,-269.4322841194518
