,Query Index,No_index_exe_list,Exe_list_whatif,Exe_list_rainbow,Exe_list_lib,Exe_list_AIMEETAI,Whatif Ratio (%),Rainbow Ratio (%),Lib Ratio (%),Tree Model Ratio (%)
0,1,0.4722440242767334,0.1403975486755371,0.27106451988220215,0.7188067436218262,0.3128795623779297,70.27012699831123,42.600751741146595,-52.21087121699773,33.74621037140253
1,2,0.4180419445037842,0.10430335998535156,0.20663952827453613,0.41513586044311523,0.1878032684326172,75.0495467364741,50.56966627599599,0.6951656643254943,55.07549639413823
2,3,0.3764467239379883,0.1816411018371582,0.47806763648986816,0.25780582427978516,0.5416710376739502,51.748523685630545,-26.99476608238987,31.51598675560442,-43.89049053410787
3,4,0.39195704460144043,0.19640278816223145,0.29694342613220215,0.2563908100128174,0.39255189895629883,49.89175705160685,24.240824288756542,34.58701315764662,-0.15176519035734468
4,5,0.37319350242614746,0.1499011516571045,0.3450162410736084,0.24714112281799316,0.3739750385284424,59.83286132191732,7.550308665439628,33.776681209260666,-0.20941846447328827
5,6,2.1467180252075195,1.9936892986297607,2.083815574645996,2.1080644130706787,2.3012259006500244,7.128496839400497,2.930168276545904,1.8005910269982588,-7.197399641136794
6,7,1.971771001815796,1.937436580657959,1.925558090209961,1.8849797248840332,2.0790085792541504,1.7412986156211083,2.3437261002052305,4.401691517515825,-5.438642587785288
7,8,1.9355409145355225,1.934873342514038,1.9075491428375244,1.8619978427886963,2.0416665077209473,0.034490204597125464,1.446198914617897,3.7996133894423267,-5.4829940503165275
8,9,4.342719316482544,4.163024663925171,3.1204428672790527,3.8143935203552246,4.07495903968811,4.137837135256525,28.145416733805718,12.16578271872393,6.165728366974229
9,10,4.287134885787964,5.47995924949646,3.168661594390869,3.7355871200561523,3.9935495853424072,-27.823345788880122,26.089062303705013,12.865183401628347,6.848053729748614
10,11,4.371609687805176,5.596962213516235,3.0192790031433105,3.6313018798828125,3.701920509338379,-28.02977880503014,30.934387588037865,16.93444430749362,15.319052392415736
11,12,0.4074573516845703,0.15828609466552734,0.2535562515258789,0.23788022994995117,0.36509013175964355,61.152720889409004,37.77109420713868,41.61837331772967,10.3979520187244
12,13,5.641368627548218,0.4370594024658203,0.47931790351867676,20.565639972686768,7.618626594543457,92.25259983310522,91.5035174057223,-264.5505431476254,-35.0492601625037
13,14,2.0098841190338135,2.224189519882202,1.9528214931488037,1.9489285945892334,1.932701826095581,-10.66257496235201,2.8391002916347623,3.0327880034139714,3.840136463953718
14,15,5.237212419509888,0.4387633800506592,0.46362853050231934,19.96702766418457,7.233544111251831,91.6221962199555,91.14741787491394,-281.2529656006036,-38.118211212994204
